election_num,state,Ypos,Xpos,MOE_original, MOE_instance,Trump,Clinton,Trump_New, Clinton_New,Trump_EVotes,Clinton_EVotes,Flip_Ind,MOE_Rare_Ind,Surprise_Ind
3,Minnesota,3,5,3.9,0.19,39,49,39.19,49,0,10,0,0,0
3,Missouri,7,6,3.5,1.45,47,41,48.45,41,10,0,0,0,0
3,Mississippi,5,5,2.9,0.52,54,39,54,39.52,6,0,0,0,0
3,Montana,3,3,3.2,0.91,46,36,46,36.91,3,0,0,0,0
3,Nebraska,5,4,3.6,0.76,56,29,56.76,29,5,0,0,0,0
3,Nevada,4,2,4.9,1.68,46,46,46,47.68,0,6,1,0,0
3,New Hampshire,2,11,3.7,1.04,38,49,38,50.04,0,4,0,0,0
3,New Jersey,4,9,3.8,0.91,40,51,40,51.91,0,14,0,0,0
3,New Mexico,6,3,1.8,2.1,44,46,44,48.1,0,5,0,1,0
3,New York,3,9,4.5,1.23,34,51,34,52.23,0,29,0,0,0
3,North Carolina,6,7,3.5,0.64,44,44,44,44.64,0,15,1,0,0
3,North Dakota,3,4,4.9,0.03,43,32,43.03,32,3,0,0,0,0
3,Ohio,4,7,3.2,2.34,46,39,46,41.34,18,0,0,0,0
3,Oklahoma,7,4,4.3,3.99,60,30,63.99,30,7,0,0,0,0
3,Oregon,4,1,4.4,0.39,34,41,34.39,41,0,7,0,0,0
3,Pennsylvania,4,8,2.8,0.72,40,46,40.72,46,0,20,0,0,0
3,Rhode Island,4,11,3.4,1.56,32,52,32,53.56,0,4,0,0,0
3,South Carolina,6,8,4.4,1.19,47,36,48.19,36,9,0,0,0,0
3,South Dakota,4,4,4.0,0.52,49,35,49,35.52,3,0,0,0,0
3,Tennessee,6,6,4.4,0.57,44,34,44,34.57,11,0,0,0,0
3,Texas,8,4,3.6,2.88,49,35,51.88,35,38,0,0,0,0
3,Utah,5,2,2.7,1.33,40,30,40,31.33,6,0,0,0,0
3,Vermont,2,10,3.0,1.88,26,52,26,53.88,0,3,0,0,0
3,Virginia,5,8,3.6,1.98,42,48,42,49.98,0,13,0,0,0
3,Washington,3,1,4.9,2.82,39,55,39,57.82,0,12,0,0,0
3,West Virginia,5,7,5.0,3.17,60,28,60,31.17,5,0,0,0,0
3,Wisconsin,2,6,1.9,1.15,41,49,41,50.15,0,10,0,0,0
3,Wyoming,4,3,3.6,1.6,58,20,58,21.6,3,0,0,0,0
3,totals,,,,,,,0,1,241,297,,,0
4,Alabama,7,7,2.0,0.27,48,32,48,32.27,9,0,0,0,0
4,Alaska,1,1,4.9,3.6,43,47,43,50.6,0,3,0,0,0
4,Arizona,6,2,4.9,1.7,47,45,48.7,45,11,0,0,0,0
4,Arkansas,6,5,4.1,1.38,59,36,59,37.38,6,0,0,0,0
4,California,5,1,4.9,2.91,35,58,37.91,58,0,55,0,0,0
4,Colorado,5,3,3.7,1.21,43,48,44.21,48,0,9,0,0,0
4,Connecticut,4,10,3.0,0.43,35,50,35.43,50,0,7,0,0,0
